"zone","state","lga","sector","ea","hhid","indiv","s6q1","s6q2","s6q3","s6q4","s6q5","s6q5b","s6q6","s6q7","s6q7b","s6q8","s6q9","s6q10","s6q11","s6q11b","s6q12"
4,1,108,2,904,10107,2,2,,,,,,,,,,,,,,
4,1,108,2,904,10107,3,2,,,,,,,,,,,,,,
4,1,108,2,904,10107,4,2,,,,,,,,,,,,,,
4,1,108,2,904,10107,5,2,,,,,,,,,,,,,,
4,1,108,2,904,10107,6,2,,,,,,,,,,,,,,
4,1,108,2,904,10108,1,2,,,,,,,,,,,,,,
4,1,108,2,904,10108,2,2,,,,,,,,,,,,,,
4,1,108,2,904,10109,1,2,,,,,,,,,,,,,,
4,1,108,2,904,10109,2,2,,,,,,,,,,,,,,
4,1,108,2,904,10109,3,2,,,,,,,,,,,,,,
4,1,108,2,904,10109,4,2,,,,,,,,,,,,,,
4,1,108,2,904,10109,5,2,,,,,,,,,,,,,,
4,1,108,2,904,10109,6,2,,,,,,,,,,,,,,
4,1,108,2,904,10109,7,2,,,,,,,,,,,,,,
4,1,108,2,904,10109,9,2,,,,,,,,,,,,,,
4,1,108,2,904,10110,1,2,,,,,,,,,,,,,,
4,1,108,2,904,10110,2,2,,,,,,,,,,,,,,
4,1,108,2,904,10110,3,2,,,,,,,,,,,,,,
4,1,108,2,904,10110,4,2,,,,,,,,,,,,,,
4,1,108,2,904,10110,5,2,,,,,,,,,,,,,,
2,2,209,2,1040,20001,1,2,,,,,,,,,,,,,,
2,2,209,2,1040,20001,2,2,,,,,,,,,,,,,,
2,2,209,2,1040,20001,4,2,,,,,,,,,,,,,,
2,2,209,2,1040,20001,5,2,,,,,,,,,,,,,,
2,2,209,2,1040,20001,6,2,,,,,,,,,,,,,,
2,2,209,2,1040,20001,7,2,,,,,,,,,,,,,,
2,2,209,2,1040,20002,1,2,,,,,,,,,,,,,,
2,2,209,2,1040,20002,2,2,,,,,,,,,,,,,,
2,2,209,2,1040,20002,3,2,,,,,,,,,,,,,,
2,2,209,2,1040,20003,1,2,,,,,,,,,,,,,,
2,2,209,2,1040,20003,2,2,,,,,,,,,,,,,,
2,2,209,2,1040,20003,3,2,,,,,,,,,,,,,,
2,2,209,2,1040,20004,1,2,,,,,,,,,,,,,,
2,2,209,2,1040,20004,2,2,,,,,,,,,,,,,,
2,2,209,2,1040,20004,3,2,,,,,,,,,,,,,,
2,2,209,2,1040,20004,4,2,,,,,,,,,,,,,,
2,2,209,2,1040,20005,1,2,,,,,,,,,,,,,,
2,2,209,2,1040,20005,2,2,,,,,,,,,,,,,,
2,2,209,2,1040,20005,4,2,,,,,,,,,,,,,,
2,2,209,2,1040,20005,5,2,,,,,,,,,,,,,,
2,2,209,2,1040,20006,1,2,,,,,,,,,,,,,,
2,2,209,2,1040,20006,2,2,,,,,,,,,,,,,,
2,2,209,2,1040,20006,3,2,,,,,,,,,,,,,,
2,2,209,2,1040,20006,4,2,,,,,,,,,,,,,,
2,2,209,2,1040,20006,7,2,,,,,,,,,,,,,,
2,2,209,2,1040,20006,8,2,,,,,,,,,,,,,,
2,2,209,2,1040,20007,1,2,,,,,,,,,,,,,,
2,2,209,2,1040,20007,2,2,,,,,,,,,,,,,,
2,2,209,2,1040,20007,3,2,,,,,,,,,,,,,,
2,2,209,2,1040,20007,4,2,,,,,,,,,,,,,,
2,2,209,2,1040,20008,1,2,,,,,,,,,,,,,,
2,2,209,2,1040,20008,2,2,,,,,,,,,,,,,,
2,2,209,2,1040,20008,3,2,,,,,,,,,,,,,,
2,2,209,2,1040,20008,4,2,,,,,,,,,,,,,,
2,2,209,2,1040,20008,5,2,,,,,,,,,,,,,,
2,2,209,2,1040,20009,1,2,,,,,,,,,,,,,,
2,2,209,2,1040,20009,2,2,,,,,,,,,,,,,,
2,2,209,2,1040,20009,3,2,,,,,,,,,,,,,,
