"zone","state","lga","sector","ea","hhid","s6aq01","s6aq02","s6aq03","s6aq04","s6aq05","s6aq06","s6aq07","s6aq08","s6aq09","s6aq10","s6aq11","s6aq12","s6aq13","s6aq14","s6aq15","version"
5,3,329,2,696,30065,1,1,2,,2,,2,1,1,,2,2,3,3,1,2
5,3,329,2,696,30066,1,2,,1,2,,2,1,1,,2,2,1,3,1,2
5,3,329,2,696,30067,2,1,1,,1,1,,1,1,,1,2,1,2,1,1
5,3,329,2,696,30069,1,1,1,,1,2,,1,1,,2,2,2,2,2,1
5,3,329,2,696,30070,2,1,1,,1,1,,1,1,,1,2,2,2,2,2
5,3,323,2,580,30071,1,1,2,,2,,2,1,1,,1,2,2,2,2,1
5,3,323,2,580,30072,2,1,1,,1,1,,1,1,,1,2,1,1,1,2
5,3,323,2,580,30073,1,2,,2,2,,2,1,1,,2,2,1,2,2,2
5,3,323,2,580,30074,3,2,,2,2,,2,1,1,,2,2,2,2,1,2
5,3,323,2,580,30075,1,1,1,,1,2,,1,1,,1,2,2,2,1,1
5,3,323,2,580,30076,2,1,1,,1,1,,2,,1,2,2,2,2,2,1
5,3,323,2,580,30077,1,1,1,,1,2,,1,1,,2,2,2,2,2,1
5,3,325,1,0,30078,1,1,1,,2,,2,1,1,,2,2,2,4,1,1
5,3,323,2,580,30079,2,1,1,,2,,1,1,1,,1,2,1,2,1,2
5,3,323,2,580,30080,1,1,1,,1,1,,1,1,,1,2,2,2,2,1
5,3,318,2,1136,30081,1,1,1,,2,,2,1,1,,2,1,2,2,2,2
5,3,331,1,0,30082,1,2,,2,2,,2,1,1,,2,2,1,2,1,1
5,3,318,2,1136,30084,4,1,1,,2,,2,1,1,,2,2,2,2,2,2
5,3,318,2,1136,30085,2,1,1,,1,2,,1,1,,2,2,1,2,2,1
5,3,318,2,1136,30086,1,1,1,,2,,2,1,1,,1,2,1,1,1,1
5,3,318,2,1136,30087,2,2,,2,2,,2,1,1,,2,2,2,2,2,2
5,3,318,2,1136,30088,1,1,1,,2,,2,1,1,,1,2,1,2,1,1
5,3,318,2,0,30089,4,1,1,,1,2,,1,1,,2,1,2,2,2,1
5,3,318,2,1136,30090,1,2,,2,2,,2,1,1,,2,2,2,2,2,1
5,3,313,2,70,30091,1,1,1,,2,,2,1,1,,2,2,2,2,2,1
5,3,331,1,0,30092,2,1,1,,2,,2,1,1,,2,1,2,2,2,2
