"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11gq1a","s11gq1b","s11gq2","s11gq3","s11gq4","s11gq5a","s11gq5b","s11gq5c","s11gq5d","s11gq6","s11gq7","s11gq7b","s11gq8a","s11gq8b","tracked_obs"
4,4,421,1,800,40178,1,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,421,1,800,40178,1,3,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,411,1,1486,40181,1,3,"PALM TREE",3183,2,3,2,1992,0,2,2012,7,2012,2,,,300,26,0
4,4,411,1,1486,40181,1,4,"PEAR",3220,1,3,1,1992,0,5,2012,9,2012,2,,,200,26,0
4,4,411,1,1486,40181,1,5,"PAWPAW",3210,2,3,,2011,0,7,2011,12,2011,2,,,0,,0
4,4,411,1,1486,40182,3,1,"PLANTAIN",2170,10,3,10,2004,0,7,2011,12,2011,2,,,400,42,0
4,4,401,2,2106,40191,1,1,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,401,2,2106,40194,1,1,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,401,2,2106,40194,1,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,401,2,2106,40194,1,3,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,401,2,2106,40194,2,1,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,401,2,2106,40194,2,2,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,401,2,2106,40194,2,3,"CASSAVA",1020,0,,,,,,,,,,,,,,0
