"zone","state","lga","ea","sector","hhid","plotid","s11aq4aa","s11aq4b","s11aq4a","s11aq4b1","s11aq4b1_os","s11aq4b2","s11aq4c","s11b1q27","s11aq6a","s11aq6b","s11aq6c","s11aq6d"
4,1,110,338,2,19129,1,1,5,1,,,,288.38,1,2,,,
4,1,110,338,2,19129,2,1,5,1,,,,197.47,1,2,,,
4,1,110,338,2,19129,3,2,5,1,,,,498.52,1,2,,,
4,1,110,338,2,19129,4,1,5,,,,,,2,,,,
4,1,110,338,2,19130,1,2000,1,1,,,,582.63,1,1,,,
4,1,110,338,2,19130,2,1500,1,1,,,,1057.8,1,1,,,
4,1,110,338,2,19130,3,1,5,,,,,,2,,,,
4,1,110,338,2,19131,1,2,5,1,,,,1194.3,1,1,,,
4,1,110,338,2,19131,2,1,5,2,4,,,,1,1,,,
4,1,110,338,2,19131,3,1,5,,,,,,2,,,,
4,1,111,118,2,19133,1,2000,1,1,,,,644.22,1,1,,,
4,1,111,118,2,19133,2,4000,1,1,,,,1132.8,1,1,2,,
4,1,111,118,2,19133,3,0.5,5,,,,,,2,,,,
4,1,111,118,2,19135,1,1,5,,,,,,2,,,,
4,1,111,118,2,19135,2,4000,1,1,,,,590.69,1,1,,,
4,1,111,118,2,19136,1,350,1,1,,,,287.85,1,1,,,
