"zone","state","lga","sector","ea","cluster_id","item_cd","c7q1","c7q1_os","c7q2","c7q2_os","c7q3","c7q4__1","c7q4__2","c7q4__3","c7q4__4","c7q4__5","c7q4__6","c7q4__7","c7q4__8","c7q4__9","c7q4__10","c7q4_os"
4,1,105,2,638,"105-638",708,2,,,,,,,,,,,,,,,
4,1,105,2,638,"105-638",709,2,,,,,,,,,,,,,,,
4,1,105,2,638,"105-638",710,2,,,,,,,,,,,,,,,
4,1,105,2,638,"105-638",711,2,,,,,,,,,,,,,,,
4,1,105,2,638,"105-638",712,2,,,,,,,,,,,,,,,
4,1,105,2,638,"105-638",713,2,,,,,,,,,,,,,,,
4,1,105,2,638,"105-638",714,2,,,,,,,,,,,,,,,
4,1,105,2,638,"105-638",715,2,,,,,,,,,,,,,,,
4,1,107,2,10,"107-10",701,1,,1,,2,,,,,,,,,,,
4,1,107,2,10,"107-10",702,2,,,,,,,,,,,,,,,
4,1,107,2,10,"107-10",703,2,,,,,,,,,,,,,,,
4,1,107,2,10,"107-10",704,2,,,,,,,,,,,,,,,
4,1,107,2,10,"107-10",705,2,,,,,,,,,,,,,,,
4,1,107,2,10,"107-10",706,2,,,,,,,,,,,,,,,
4,1,107,2,10,"107-10",707,2,,,,,,,,,,,,,,,
